Course Code,Course Name,Short names,Description
CS 101,Computer Programming and Utilization,CPU,"This course provides an introduction to problem solving with computers using a modern language such as Java or C/C++. Topics covered will include :
* Utilization : Developer fundamentals such as editor, integrated programming environment, Unix shell, modules, libraries.
* Programming features : Machine representation, primitive types,arrays and records, objects, expressions, control statements, iteration,procedures, functions, and basic i/o.
* Applications : Sample problems in engineering, science, text processing, and numerical methods."
CS 105,Discrete Structures,DS,"Propositions and predicates, proofs and proof techniques. Sets, relations and functions, cardinality, basic counting. Posets and lattices: Dilworth`s theorem, inversion and distributive lattices. Graph theory : paths, cycles, trees, connectivity. Group theory : Lagrange`s theorem, homomorphisms, applications."
CS 213,Data Structures and Algorithms,DSA,"Introduction to data structures, abstract data types, analysis of algorithms. Creation and manipulation of data structures: arrays, lists, stacks, queues, trees, heaps, hash tables, balanced trees, tries, graphs. Algorithms for sorting and searching, order statistics, depth-first and breadth-first search, shortest paths and minimum spanning tree."
CS 215,Data Analysis and Interpretation,DAI,"Descriptive statistics
Discrete and continuous probability
Random variables and expectation
Special random variables: Gaussian, Bernoulli, Beta, Gamma, Uniform, Poisson, Exponential, Binomial, etc.
Hypothesis testing
Parameter estimation
Regression
Probability density estimation"
CS 218 M,Design and Analysis of Algorithms,DAA,"Models of computation, algorithm analysis, time and space complexity, average and worst case analysis, lower bounds. Algorithm design techniques: divide and conquer, greedy, dynamic programming, amortization, randomization. Problem classes P, NP, PSPACE; reducibility, NP-hard and NP-complete problems. Approximation algorithms for some NP-hard problems."
CS 228,Logic For CS,LFCS,"1 Propositional logic:
1.1 Declarative sentences
1.2 Natural deduction
1.2.
1 Rules for natural deduction
1.2.2 Derived rules
1.2.3 Provable equivalence
1.3 Propositional logic as a formal language
1.4 Semantics of propositional logic
1.4.1 The meaning of logical connectives
1.4.2 Soundness of propositional logic
1.4
.3 Completeness of propositional logic
1.5 Normal forms
1.5.1 Semantic equivalence, satisfiability, and validity
1.5.2 Conjunctive normal forms and validity
1.5.3 Horn clauses and satisfiability
1.6 SAT solvers
2 Predicate logic
2.1 Predicate logic as a formal language
2.1.1 Terms
2.1.2 Formulas
2.1.3 Free and bound variables
2.1.4 Substitution
2.2 Proof theory of predicate logic
2.2.1 Natural deduction rules
2.2.2 Quantifier equivalences
2.3 Semantics of predicate logic
2.3.1 Models
2.3.2 Semantic entailment
2.3.3 The semantics of equality
2.4 Undecidability of predicate logic
2.5 Expressiveness of predicate logic
3 Program correctness
3.1 Notion of program correctness
3.1.1 Hoare triples
3.1.2 Partial and total correctness
3.1.3 Program variables and logical variables
3.2 Proof calculus for partial correctness
3.2.1 Proof rules
3.2.2 Proof tableaux
3.3 Proof calculus for total correctness
3.4 Programming by contract
4 Other Applications such as Logic in databases, Logic programming, Puzzle solving
5 Practice with Verification tools"
CS 230,Digital Logic Design and Computer Architecture,DLDCA,"1 Logic gates, SOP, POS, KMAPs, Number system: fixed point, floating-point, combinational circuits 2 Combinational circuits, sequential circuits 3 Sequential circuits, FSMs 4 FSM, FSM Minimization 5 Intro to processors, CPU. Von Neumann architecture, ISA vs microarchitecture, computer organization 6 Instruction pipelining 7 Mid-sem Week 8 Superscalar processors 9 Superscalar processors, SMTs 10 Memory hierarchy including virtual memory 11 More on Caches, DRAM 12 Storage and I/O 13 GPUs, TPUs, and accelerators, Case study: Recent Processors and GPUs"
CS 231,Digital Logic and Computer Architecture Lab,DLCAL,"Labs on (a) Verilog/VHDL, (b) combinational and sequential circuits, (c) assembly language programming, (d) Instruction pipelining and superscalar processors, and (e) Memory hierarchy optimizations involving tools like Pin and architecture simulators,"
CS 293,Data Structures Lab,DSL,"Implementation of, and experiments with, basic data structures and use in dynamic operations on data for different algorithms and problem domains; comparison of asymptotic complexity with real behaviour of algorithms; project."
CS 317 M,Database and Information Systems,DIS,"Overview of data management systems. Relational model and query languages (relational algebra and calculus, SQL). Database design using the ER Model, ER Diagrams, UML Class Diagrams. Relational database design and normalization. Integrity and Security. Design and development of Web based information systems. Overview of storage structures and indexing, query processing and optimization, and transaction processing. Introduction to Big Data management concepts such as: distributed and scalable data storage, including distributed file systems, key value stores, column stores and graph databases, replication and consistency, and concurrent data processing using the Map Reduce paradigm. Introduction to decision support and data analysis, data warehousing and data mining, and Information Retrieval."
CS 339,Abstractions and Paradigms for Programming,APP,"Review of the program development process, Issues in program design, Structured programming, Data and control abstractions, Programming with assertions. Reasoning about programs and proving correctness of programs. Ideas behind imperative, applicative, object oriented and logic programming paradigms such as typing, expressions, pure functions, recursion, higher order functions, encapsulation, inheritance, goal satisfaction, backtracking, unification. Some of the ideas behind the implementation of the paradigms. Course to be centered around problems and applications that demonstrate the main themes."
CS 347 M,Operating Systems,OS,"Overview of operating systems: batch processing, multiprogramming, time-sharing and real time systems. Concurrent processes: communication and synchronisation. Process management, deadlocks. Main memory management: paging, segmentation, sharing of programs and data. Device management. Information management: file system, security. A case study of UNIX."
